,id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
53,70,35,M,9884,Marié(e),Consulting,Manager,2,80,10,4,0,3,2,3,1,3,3,3,Oui,13 %,Non,1,3,1,11,2,Transformation Digitale,Y,Aucun,2,3
54,72,26,F,4157,Marié(e),Commercial,Cadre Commercial,7,80,5,2,2,3,2,2,4,3,2,3,Oui,19 %,Non,1,2,1,23,3,Marketing,Y,Occasionnel,0,0
55,73,33,F,13458,Célibataire,Consulting,Directeur Technique,1,80,15,15,14,1,3,3,4,3,3,3,Oui,12 %,Non,0,1,1,1,2,Infra & Cloud,Y,Frequent,8,12
56,74,35,M,9069,Marié(e),Commercial,Cadre Commercial,1,80,9,9,8,2,3,3,1,4,2,4,Non,22 %,Non,1,3,1,18,5,Infra & Cloud,Y,Frequent,1,8
57,75,35,F,4014,Marié(e),Consulting,Consultant,3,80,4,2,2,3,3,1,1,3,3,3,Oui,15 %,Non,1,3,1,23,4,Transformation Digitale,Y,Occasionnel,2,2
58,76,31,M,5915,Divorcé(e),Consulting,Consultant,3,80,10,7,7,4,3,2,4,4,2,4,Non,22 %,Non,1,3,1,7,4,Infra & Cloud,Y,Occasionnel,1,7
59,77,37,M,5993,Divorcé(e),Consulting,Tech Lead,1,80,7,7,5,1,2,2,3,3,4,3,Non,18 %,Non,1,2,1,1,4,Infra & Cloud,Y,Occasionnel,0,7
60,78,32,M,6162,Marié(e),Consulting,Tech Lead,1,80,9,9,8,1,3,2,4,2,3,4,Oui,22 %,Non,1,3,1,1,3,Transformation Digitale,Y,Occasionnel,7,8
61,79,38,F,2406,Célibataire,Consulting,Consultant,1,80,10,10,3,4,3,2,4,4,3,3,Non,11 %,Non,0,2,1,29,5,Infra & Cloud,Y,Frequent,9,9
62,80,50,F,18740,Divorcé(e),Consulting,Directeur Technique,5,80,29,27,3,2,2,5,3,4,2,3,Oui,12 %,Non,1,2,1,7,2,Transformation Digitale,Y,Occasionnel,13,8
63,81,59,F,7637,Célibataire,Commercial,Cadre Commercial,7,80,28,21,16,1,3,3,1,4,2,3,Non,11 %,Non,0,3,1,25,3,Infra & Cloud,Y,Occasionnel,7,9
64,83,36,F,10096,Divorcé(e),Consulting,Manager,1,80,17,17,14,3,3,3,3,2,3,3,Non,13 %,Non,3,2,1,8,3,Entrepreunariat,Y,Occasionnel,12,8
65,84,55,F,14756,Divorcé(e),Consulting,Senior Manager,2,80,21,5,0,4,3,4,3,3,3,3,Oui,14 %,Non,3,2,1,8,3,Transformation Digitale,Y,Occasionnel,0,2
66,85,36,M,6499,Célibataire,Consulting,Tech Lead,1,80,6,6,5,2,2,2,2,3,3,3,Non,13 %,Non,0,3,1,11,3,Infra & Cloud,Y,Frequent,0,3
67,86,45,M,9724,Divorcé(e),Consulting,Assistant de Direction,2,80,25,1,0,2,3,3,1,3,3,3,Non,17 %,Non,1,2,1,7,3,Infra & Cloud,Y,Occasionnel,0,0
68,88,35,M,2194,Marié(e),Consulting,Assistant de Direction,4,80,5,3,2,2,3,1,1,4,2,3,Non,13 %,Non,1,2,1,1,3,Transformation Digitale,Y,Frequent,1,2
69,90,36,M,3388,Marié(e),Consulting,Assistant de Direction,0,80,2,1,0,4,2,1,3,1,2,3,Oui,17 %,Oui,1,0,1,9,3,Transformation Digitale,Y,Occasionnel,0,0
70,91,59,F,5473,Célibataire,Commercial,Cadre Commercial,7,80,20,4,3,1,2,2,3,4,2,3,Non,11 %,Non,0,2,1,1,1,Infra & Cloud,Y,Frequent,1,3
71,94,29,M,2703,Marié(e),Consulting,Assistant de Direction,0,80,6,5,4,3,3,1,2,4,3,4,Non,23 %,Non,1,3,1,2,3,Infra & Cloud,Y,Occasionnel,0,4
72,95,31,M,2501,Célibataire,Consulting,Assistant de Direction,1,80,1,1,1,3,3,1,2,2,3,3,Non,17 %,Non,0,4,1,1,4,Transformation Digitale,Y,Occasionnel,1,0
73,96,32,M,6220,Marié(e),Consulting,Assistant de Direction,1,80,10,10,4,2,3,2,2,2,3,3,Non,17 %,Non,2,3,1,1,3,Infra & Cloud,Y,Occasionnel,0,9
74,97,36,F,3038,Marié(e),Consulting,Consultant,3,80,5,1,0,2,4,1,4,2,3,3,Non,12 %,Non,0,3,1,6,3,Infra & Cloud,Y,Occasionnel,0,0
75,98,31,F,4424,Célibataire,Consulting,Tech Lead,1,80,11,11,7,3,3,2,4,4,3,4,Non,23 %,Non,0,2,1,8,4,Infra & Cloud,Y,Occasionnel,1,8
76,100,35,M,4312,Célibataire,Commercial,Cadre Commercial,0,80,16,15,13,3,2,2,1,2,3,3,Non,14 %,Non,0,2,1,1,4,Marketing,Y,Occasionnel,2,8
77,101,45,M,13245,Marié(e),Consulting,Directeur Technique,4,80,17,0,0,4,3,3,1,2,4,3,Oui,14 %,Non,0,3,1,6,4,Autre,Y,Occasionnel,0,0
78,102,37,M,13664,Célibataire,Consulting,Directeur Technique,4,80,16,5,2,1,3,3,3,1,4,3,Non,13 %,Non,0,3,1,7,4,Transformation Digitale,Y,Occasionnel,0,2
79,103,46,M,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,80,16,4,2,2,3,2,2,4,3,4,Oui,22 %,Non,1,2,1,5,2,Transformation Digitale,Y,Occasionnel,0,2
80,104,30,M,5126,Marié(e),Consulting,Consultant,1,80,10,10,8,4,2,2,4,3,2,3,Oui,12 %,Non,2,1,1,1,1,Infra & Cloud,Y,Occasionnel,3,0
81,105,35,M,2859,Célibataire,Consulting,Assistant de Direction,1,80,6,6,4,2,2,1,3,1,3,3,Non,18 %,Non,0,3,1,1,3,Transformation Digitale,Y,Occasionnel,0,4
82,106,55,M,10239,Marié(e),Commercial,Cadre Commercial,3,80,24,1,0,1,3,3,4,4,3,3,Non,14 %,Non,1,4,1,1,2,Infra & Cloud,Y,Occasionnel,1,0
83,107,38,F,5329,Divorcé(e),Consulting,Assistant de Direction,7,80,17,13,11,2,1,2,4,4,3,3,Oui,12 %,Non,3,3,1,6,3,Transformation Digitale,Y,Aucun,1,9
84,110,34,M,4325,Marié(e),Consulting,Tech Lead,1,80,5,5,2,1,3,2,2,3,3,3,Non,15 %,Non,0,2,1,1,2,Transformation Digitale,Y,Occasionnel,1,3
85,112,56,M,7260,Célibataire,Consulting,Tech Lead,4,80,37,6,4,4,1,3,4,1,2,3,Non,11 %,Non,0,3,1,7,3,Infra & Cloud,Y,Occasionnel,0,2
86,113,23,M,2322,Divorcé(e),Commercial,Représentant Commercial,3,80,3,0,0,3,3,1,1,3,3,3,Non,13 %,Non,1,3,1,2,1,Entrepreunariat,Y,Occasionnel,0,0
87,116,51,M,2075,Marié(e),Consulting,Consultant,3,80,10,4,2,4,3,1,4,2,3,4,Non,23 %,Non,2,4,1,9,4,Infra & Cloud,Y,Occasionnel,0,3
88,117,30,M,4152,Marié(e),Consulting,Manager,1,80,11,11,10,3,2,2,4,1,3,3,Non,19 %,Non,3,3,1,2,3,Infra & Cloud,Y,Occasionnel,10,8
89,118,46,M,9619,Célibataire,Commercial,Cadre Commercial,1,80,9,9,8,3,2,3,4,4,3,3,Non,16 %,Oui,0,3,1,9,2,Transformation Digitale,Y,Occasionnel,4,7
90,119,40,M,13503,Marié(e),Consulting,Manager,1,80,22,22,3,3,2,4,2,4,2,4,Non,22 %,Non,1,3,1,1,4,Infra & Cloud,Y,Frequent,11,11
91,120,51,M,5441,Célibataire,Commercial,Cadre Commercial,0,80,11,10,7,3,3,2,4,4,1,4,Oui,22 %,Non,0,2,1,21,4,Marketing,Y,Occasionnel,1,0
92,121,30,F,5209,Divorcé(e),Commercial,Cadre Commercial,1,80,11,11,8,3,2,2,2,2,2,3,Oui,12 %,Non,3,4,1,4,2,Transformation Digitale,Y,Occasionnel,2,7
93,124,46,M,10673,Marié(e),Consulting,Manager,2,80,21,10,9,3,2,3,1,3,2,3,Oui,13 %,Non,1,5,1,1,3,Transformation Digitale,Y,Frequent,9,5
94,125,32,M,5010,Célibataire,Commercial,Cadre Commercial,1,80,12,11,8,2,3,2,3,1,3,3,Non,16 %,Non,0,0,1,6,4,Transformation Digitale,Y,Occasionnel,5,7
95,126,54,F,13549,Marié(e),Consulting,Directeur Technique,9,80,16,4,3,1,3,3,3,1,1,3,Non,12 %,Non,1,5,1,2,4,Entrepreunariat,Y,Occasionnel,0,3
96,128,24,F,4999,Marié(e),Commercial,Cadre Commercial,0,80,4,3,2,1,3,2,3,1,2,4,Non,21 %,Non,1,2,1,3,2,Autre,Y,Occasionnel,0,2
97,129,28,M,4221,Marié(e),Commercial,Cadre Commercial,1,80,5,5,4,2,3,2,3,2,4,3,Non,15 %,Non,0,3,1,4,3,Transformation Digitale,Y,Aucun,0,4
98,131,58,M,13872,Célibataire,Commercial,Cadre Commercial,0,80,38,37,10,4,3,4,3,3,2,3,Non,13 %,Non,0,1,1,10,4,Transformation Digitale,Y,Occasionnel,1,8
99,132,44,M,2042,Marié(e),Consulting,Consultant,4,80,17,3,2,2,3,2,2,3,4,3,Non,12 %,Non,1,3,1,23,3,Transformation Digitale,Y,Aucun,1,2
100,133,37,M,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,80,7,3,2,3,3,1,1,4,3,4,Oui,22 %,Oui,0,3,1,6,4,Ressources Humaines,Y,Occasionnel,0,2
101,134,32,M,2956,Célibataire,Consulting,Assistant de Direction,1,80,1,1,0,4,3,1,1,4,3,3,Non,13 %,Non,0,2,1,1,1,Infra & Cloud,Y,Occasionnel,0,0
102,137,20,F,2926,Célibataire,Consulting,Consultant,1,80,1,1,0,4,2,1,4,2,3,3,Oui,18 %,Oui,0,5,1,6,3,Infra & Cloud,Y,Frequent,1,0
103,138,34,F,4809,Célibataire,Consulting,Assistant de Direction,1,80,16,16,13,1,3,2,3,3,3,3,Non,14 %,Non,0,3,1,6,4,Autre,Y,Occasionnel,2,10
104,139,37,M,5163,Divorcé(e),Consulting,Manager,5,80,17,1,0,3,2,2,4,4,4,3,Non,14 %,Non,1,2,1,2,2,Infra & Cloud,Y,Aucun,0,0
105,140,59,F,18844,Marié(e),Ressources Humaines,Senior Manager,9,80,30,3,2,3,2,5,4,4,3,4,Non,21 %,Non,1,3,1,2,4,Ressources Humaines,Y,Aucun,2,2
106,141,50,F,18172,Marié(e),Consulting,Directeur Technique,3,80,28,8,3,1,3,5,2,1,2,3,Oui,19 %,Non,0,1,1,1,3,Infra & Cloud,Y,Frequent,0,7
107,142,25,M,5744,Célibataire,Commercial,Cadre Commercial,1,80,6,6,4,3,2,2,3,4,3,3,Oui,11 %,Oui,0,1,1,5,3,Marketing,Y,Occasionnel,0,3
108,143,25,M,2889,Marié(e),Consulting,Assistant de Direction,1,80,2,2,2,4,2,1,4,3,3,3,Non,11 %,Non,2,2,1,7,1,Transformation Digitale,Y,Occasionnel,2,1
109,144,22,F,2871,Célibataire,Consulting,Consultant,1,80,1,0,0,2,3,1,4,3,3,3,Non,15 %,Non,0,5,1,15,3,Transformation Digitale,Y,Occasionnel,0,0
110,145,51,F,7484,Célibataire,Consulting,Manager,3,80,23,13,12,1,2,3,1,3,2,4,Non,20 %,Non,0,1,1,1,4,Transformation Digitale,Y,Frequent,12,8
111,147,34,M,6074,Célibataire,Consulting,Consultant,1,80,9,9,7,1,1,2,3,4,3,4,Oui,24 %,Oui,0,3,1,7,3,Infra & Cloud,Y,Frequent,0,6
112,148,54,F,17328,Célibataire,Ressources Humaines,Senior Manager,2,80,23,5,3,4,4,4,4,3,3,3,Oui,12 %,Non,0,3,1,26,3,Ressources Humaines,Y,Aucun,4,4
113,150,24,M,2774,Marié(e),Consulting,Consultant,0,80,6,5,3,2,3,1,3,3,3,3,Non,12 %,Non,1,2,1,18,1,Infra & Cloud,Y,Occasionnel,1,2
114,151,34,F,4505,Divorcé(e),Consulting,Assistant de Direction,6,80,12,1,0,3,2,2,2,3,3,3,Non,15 %,Non,1,3,1,6,4,Infra & Cloud,Y,Occasionnel,0,0
115,152,37,M,7428,Célibataire,Commercial,Cadre Commercial,2,80,12,5,3,3,3,3,4,1,3,3,Non,12 %,Non,0,3,1,3,3,Infra & Cloud,Y,Occasionnel,1,3
116,153,34,F,11631,Célibataire,Consulting,Senior Manager,2,80,14,11,10,3,2,3,1,4,3,3,Non,12 %,Non,0,6,1,5,3,Transformation Digitale,Y,Occasionnel,5,8
117,154,36,F,9738,Marié(e),Commercial,Cadre Commercial,0,80,10,9,7,2,3,3,4,3,3,3,Non,14 %,Non,1,6,1,11,2,Entrepreunariat,Y,Frequent,2,8
118,155,36,F,2835,Divorcé(e),Consulting,Consultant,5,80,7,1,0,1,3,1,4,1,3,4,Non,22 %,Non,1,2,1,3,2,Infra & Cloud,Y,Occasionnel,0,0
119,158,43,M,16959,Marié(e),Commercial,Senior Manager,1,80,25,25,12,3,3,4,4,4,4,3,Oui,12 %,Non,2,3,1,26,2,Infra & Cloud,Y,Frequent,4,12
120,159,30,M,2613,Divorcé(e),Consulting,Assistant de Direction,1,80,10,10,7,1,1,1,3,3,2,4,Non,25 %,Non,3,2,1,23,3,Infra & Cloud,Y,Frequent,0,9
121,160,33,M,6146,Marié(e),Commercial,Cadre Commercial,0,80,8,7,7,3,3,2,2,1,4,3,Non,13 %,Non,1,2,1,22,2,Marketing,Y,Aucun,0,7
122,161,56,F,4963,Marié(e),Consulting,Assistant de Direction,9,80,7,5,4,2,3,1,2,1,3,3,Oui,18 %,Oui,3,2,1,14,4,Infra & Cloud,Y,Occasionnel,4,3
123,162,51,M,19537,Célibataire,Consulting,Directeur Technique,7,80,23,20,18,1,3,5,3,3,3,3,Non,13 %,Non,0,5,1,6,3,Infra & Cloud,Y,Occasionnel,15,15
124,163,31,M,6172,Marié(e),Commercial,Cadre Commercial,4,80,12,7,7,2,1,2,3,2,2,3,Oui,18 %,Oui,0,3,1,6,4,Infra & Cloud,Y,Occasionnel,7,7
125,164,26,F,2368,Marié(e),Consulting,Assistant de Direction,1,80,5,5,4,3,2,1,2,3,2,3,Non,19 %,Non,0,3,1,6,3,Autre,Y,Occasionnel,4,3
126,165,58,F,10312,Marié(e),Consulting,Manager,1,80,40,40,10,4,3,3,4,4,2,3,Non,12 %,Oui,1,3,1,23,4,Transformation Digitale,Y,Occasionnel,15,6
127,167,19,M,1675,Célibataire,Commercial,Représentant Commercial,1,80,0,0,0,4,3,1,3,4,2,3,Oui,19 %,Oui,0,2,1,22,1,Marketing,Y,Occasionnel,0,0
128,169,22,M,2523,Marié(e),Consulting,Consultant,0,80,3,2,1,3,3,1,4,3,3,3,Non,14 %,Non,1,2,1,2,1,Entrepreunariat,Y,Occasionnel,2,1
129,170,49,F,6567,Marié(e),Consulting,Tech Lead,1,80,16,15,11,3,3,2,1,3,2,3,Non,14 %,Non,0,2,1,20,4,Transformation Digitale,Y,Occasionnel,5,11
130,171,43,F,4739,Célibataire,Consulting,Assistant de Direction,4,80,18,3,2,2,4,1,3,4,3,3,Non,12 %,Non,0,2,1,28,3,Transformation Digitale,Y,Frequent,1,2
131,174,50,F,9208,Célibataire,Commercial,Cadre Commercial,4,80,16,2,2,3,3,3,4,4,3,3,Non,11 %,Non,0,3,1,12,3,Marketing,Y,Frequent,2,1
132,175,31,F,4559,Marié(e),Commercial,Cadre Commercial,3,80,4,2,2,2,1,2,3,3,3,3,Oui,11 %,Oui,1,2,1,20,3,Infra & Cloud,Y,Occasionnel,2,2
133,176,41,M,8189,Divorcé(e),Commercial,Cadre Commercial,3,80,12,9,7,3,3,3,3,3,3,3,Oui,13 %,Non,1,2,1,9,1,Infra & Cloud,Y,Occasionnel,0,7
134,177,26,F,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,80,8,8,7,3,3,1,3,4,3,4,Non,23 %,Non,1,3,1,25,1,Infra & Cloud,Y,Occasionnel,5,7
135,178,36,M,4941,Divorcé(e),Consulting,Tech Lead,6,80,7,3,2,2,3,2,2,4,3,4,Non,20 %,Non,2,0,1,6,2,Transformation Digitale,Y,Occasionnel,0,1
136,179,51,M,10650,Célibataire,Consulting,Tech Lead,2,80,18,4,2,1,1,3,4,4,3,3,Non,15 %,Oui,0,2,1,8,4,Infra & Cloud,Y,Frequent,0,3
137,182,39,F,5902,Marié(e),Commercial,Cadre Commercial,4,80,17,15,11,4,2,2,3,3,4,3,Non,14 %,Non,1,1,1,4,4,Infra & Cloud,Y,Occasionnel,5,9
