,id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel
22,28,34,0,11994,Célibataire,Consulting,Directeur Technique,0,13,12,6,1,3,3,2,3,3,3,0,0.11,0,0,4,1,7,4,Infra & Cloud,0,Occasionnel,2,11
23,30,21,1,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,0,3,3,1,4,4,3,3,0,0.14,0,0,6,1,15,2,Infra & Cloud,0,Occasionnel,0,0
24,31,34,1,2960,Célibataire,Consulting,Assistant de Direction,2,8,4,2,2,3,1,1,3,3,3,0,0.11,1,0,2,1,6,1,Transformation Digitale,0,Occasionnel,1,3
25,32,53,0,19094,Divorcé(e),Consulting,Senior Manager,4,26,14,13,3,3,5,3,4,2,3,0,0.11,0,1,3,1,5,3,Autre,0,Occasionnel,4,8
26,33,32,0,3919,Célibataire,Consulting,Assistant de Direction,1,10,10,2,2,1,1,1,2,3,4,1,0.22,1,0,5,1,16,1,Infra & Cloud,0,Frequent,6,7
27,35,42,1,6825,Marié(e),Commercial,Cadre Commercial,0,10,9,7,3,3,2,2,4,3,3,0,0.11,0,1,2,1,8,4,Marketing,0,Occasionnel,4,2
28,36,44,0,10248,Marié(e),Consulting,Manager,3,24,22,6,1,2,3,4,4,3,3,0,0.14,0,1,4,1,7,4,Transformation Digitale,0,Occasionnel,5,17
29,38,46,0,18947,Célibataire,Commercial,Senior Manager,3,22,2,2,2,3,5,1,4,2,3,0,0.12,0,0,2,1,2,4,Marketing,0,Occasionnel,2,1
30,39,33,1,2496,Célibataire,Consulting,Consultant,4,7,1,1,3,3,1,4,4,3,3,0,0.11,0,0,3,1,2,3,Transformation Digitale,0,Occasionnel,0,0
31,40,44,1,6465,Marié(e),Consulting,Manager,2,9,4,2,4,3,2,4,4,4,3,1,0.13,0,0,5,1,10,4,Autre,0,Occasionnel,1,3
32,41,30,1,2206,Célibataire,Consulting,Consultant,1,10,10,0,4,2,1,3,1,3,3,0,0.13,0,0,5,1,9,2,Transformation Digitale,0,Occasionnel,1,8
33,42,39,1,2086,Marié(e),Commercial,Représentant Commercial,3,19,1,0,4,3,2,4,3,4,3,0,0.14,1,1,6,1,5,3,Entrepreunariat,0,Occasionnel,0,0
34,45,24,1,2293,Marié(e),Consulting,Assistant de Direction,2,6,2,0,2,3,1,4,1,2,3,1,0.16,1,1,2,1,1,3,Transformation Digitale,0,Occasionnel,2,0
35,46,43,0,2645,Divorcé(e),Consulting,Assistant de Direction,1,6,5,3,4,4,1,3,4,2,3,0,0.12,0,2,3,1,2,2,Transformation Digitale,0,Occasionnel,1,4
36,47,50,1,2683,Marié(e),Commercial,Représentant Commercial,1,3,3,2,1,2,1,3,3,3,3,1,0.14,1,0,2,1,3,2,Marketing,0,Occasionnel,0,2
37,49,35,0,2014,Marié(e),Commercial,Représentant Commercial,1,2,2,2,4,3,1,4,1,3,3,0,0.13,0,0,3,1,2,3,Marketing,0,Occasionnel,2,2
38,51,36,0,3419,Marié(e),Consulting,Assistant de Direction,9,6,1,1,2,2,1,1,4,4,3,1,0.14,0,1,3,1,5,4,Infra & Cloud,0,Occasionnel,0,0
39,52,33,0,5376,Marié(e),Commercial,Cadre Commercial,2,10,5,3,3,4,2,1,1,3,3,0,0.19,0,2,3,1,1,3,Infra & Cloud,0,Frequent,1,3
40,53,35,1,1951,Divorcé(e),Consulting,Consultant,1,1,1,0,3,3,1,4,3,3,3,0,0.12,0,1,3,1,4,2,Autre,0,Occasionnel,0,0
41,54,27,0,2341,Divorcé(e),Consulting,Consultant,1,1,1,0,4,3,1,1,4,3,3,0,0.13,0,1,6,1,2,4,Infra & Cloud,0,Occasionnel,0,0
42,55,26,1,2293,Célibataire,Consulting,Consultant,1,1,1,0,1,1,1,3,3,2,3,0,0.12,1,0,2,1,25,3,Infra & Cloud,0,Occasionnel,0,1
43,56,27,1,8726,Célibataire,Commercial,Cadre Commercial,1,9,9,8,4,3,3,3,4,3,3,0,0.15,0,0,0,1,8,3,Infra & Cloud,0,Frequent,1,7
44,57,30,0,4011,Célibataire,Consulting,Consultant,1,12,12,8,3,3,2,4,4,3,4,0,0.23,0,0,2,1,1,2,Transformation Digitale,0,Frequent,3,7
45,58,41,0,19545,Marié(e),Consulting,Directeur Technique,1,23,22,15,2,3,5,3,4,3,3,0,0.12,1,0,0,1,12,3,Entrepreunariat,0,Occasionnel,15,8
46,60,34,1,4568,Célibataire,Commercial,Cadre Commercial,0,10,9,5,2,3,2,3,3,3,4,0,0.2,0,0,2,1,23,4,Marketing,0,Aucun,8,7
47,61,37,1,3022,Marié(e),Consulting,Assistant de Direction,4,8,1,0,2,3,1,2,1,3,4,0,0.21,0,0,1,1,19,2,Infra & Cloud,0,Occasionnel,0,0
48,62,46,1,5772,Célibataire,Commercial,Cadre Commercial,4,14,9,6,1,3,2,4,3,3,4,1,0.21,0,0,4,1,5,4,Marketing,0,Frequent,0,8
49,63,35,1,2269,Marié(e),Consulting,Consultant,1,1,1,0,4,4,1,4,4,3,3,0,0.19,0,0,2,1,8,1,Infra & Cloud,0,Occasionnel,0,1
50,64,48,1,5381,Célibataire,Consulting,Consultant,9,23,1,0,1,2,3,3,4,3,3,1,0.13,1,0,2,1,1,2,Infra & Cloud,0,Occasionnel,0,0
51,65,28,1,3441,Célibataire,Consulting,Consultant,1,2,2,2,3,3,1,3,3,2,3,1,0.13,1,0,3,1,5,4,Entrepreunariat,0,Occasionnel,2,2
52,68,44,0,5454,Divorcé(e),Commercial,Cadre Commercial,5,9,4,3,2,3,2,1,3,2,4,1,0.21,0,1,2,1,1,5,Marketing,0,Occasionnel,1,3
53,70,35,1,9884,Marié(e),Consulting,Manager,2,10,4,0,3,2,3,1,3,3,3,1,0.13,0,1,3,1,11,2,Transformation Digitale,0,Aucun,2,3
54,72,26,0,4157,Marié(e),Commercial,Cadre Commercial,7,5,2,2,3,2,2,4,3,2,3,1,0.19,0,1,2,1,23,3,Marketing,0,Occasionnel,0,0
55,73,33,0,13458,Célibataire,Consulting,Directeur Technique,1,15,15,14,1,3,3,4,3,3,3,1,0.12,0,0,1,1,1,2,Infra & Cloud,0,Frequent,8,12
56,74,35,1,9069,Marié(e),Commercial,Cadre Commercial,1,9,9,8,2,3,3,1,4,2,4,0,0.22,0,1,3,1,18,5,Infra & Cloud,0,Frequent,1,8
57,75,35,0,4014,Marié(e),Consulting,Consultant,3,4,2,2,3,3,1,1,3,3,3,1,0.15,0,1,3,1,23,4,Transformation Digitale,0,Occasionnel,2,2
58,76,31,1,5915,Divorcé(e),Consulting,Consultant,3,10,7,7,4,3,2,4,4,2,4,0,0.22,0,1,3,1,7,4,Infra & Cloud,0,Occasionnel,1,7
59,77,37,1,5993,Divorcé(e),Consulting,Tech Lead,1,7,7,5,1,2,2,3,3,4,3,0,0.18,0,1,2,1,1,4,Infra & Cloud,0,Occasionnel,0,7
60,78,32,1,6162,Marié(e),Consulting,Tech Lead,1,9,9,8,1,3,2,4,2,3,4,1,0.22,0,1,3,1,1,3,Transformation Digitale,0,Occasionnel,7,8
61,79,38,0,2406,Célibataire,Consulting,Consultant,1,10,10,3,4,3,2,4,4,3,3,0,0.11,0,0,2,1,29,5,Infra & Cloud,0,Frequent,9,9
62,80,50,0,18740,Divorcé(e),Consulting,Directeur Technique,5,29,27,3,2,2,5,3,4,2,3,1,0.12,0,1,2,1,7,2,Transformation Digitale,0,Occasionnel,13,8
63,81,59,0,7637,Célibataire,Commercial,Cadre Commercial,7,28,21,16,1,3,3,1,4,2,3,0,0.11,0,0,3,1,25,3,Infra & Cloud,0,Occasionnel,7,9
64,83,36,0,10096,Divorcé(e),Consulting,Manager,1,17,17,14,3,3,3,3,2,3,3,0,0.13,0,3,2,1,8,3,Entrepreunariat,0,Occasionnel,12,8
65,84,55,0,14756,Divorcé(e),Consulting,Senior Manager,2,21,5,0,4,3,4,3,3,3,3,1,0.14,0,3,2,1,8,3,Transformation Digitale,0,Occasionnel,0,2
66,85,36,1,6499,Célibataire,Consulting,Tech Lead,1,6,6,5,2,2,2,2,3,3,3,0,0.13,0,0,3,1,11,3,Infra & Cloud,0,Frequent,0,3
67,86,45,1,9724,Divorcé(e),Consulting,Assistant de Direction,2,25,1,0,2,3,3,1,3,3,3,0,0.17,0,1,2,1,7,3,Infra & Cloud,0,Occasionnel,0,0
68,88,35,1,2194,Marié(e),Consulting,Assistant de Direction,4,5,3,2,2,3,1,1,4,2,3,0,0.13,0,1,2,1,1,3,Transformation Digitale,0,Frequent,1,2
69,90,36,1,3388,Marié(e),Consulting,Assistant de Direction,0,2,1,0,4,2,1,3,1,2,3,1,0.17,1,1,0,1,9,3,Transformation Digitale,0,Occasionnel,0,0
70,91,59,0,5473,Célibataire,Commercial,Cadre Commercial,7,20,4,3,1,2,2,3,4,2,3,0,0.11,0,0,2,1,1,1,Infra & Cloud,0,Frequent,1,3
71,94,29,1,2703,Marié(e),Consulting,Assistant de Direction,0,6,5,4,3,3,1,2,4,3,4,0,0.23,0,1,3,1,2,3,Infra & Cloud,0,Occasionnel,0,4
72,95,31,1,2501,Célibataire,Consulting,Assistant de Direction,1,1,1,1,3,3,1,2,2,3,3,0,0.17,0,0,4,1,1,4,Transformation Digitale,0,Occasionnel,1,0
73,96,32,1,6220,Marié(e),Consulting,Assistant de Direction,1,10,10,4,2,3,2,2,2,3,3,0,0.17,0,2,3,1,1,3,Infra & Cloud,0,Occasionnel,0,9
74,97,36,0,3038,Marié(e),Consulting,Consultant,3,5,1,0,2,4,1,4,2,3,3,0,0.12,0,0,3,1,6,3,Infra & Cloud,0,Occasionnel,0,0
75,98,31,0,4424,Célibataire,Consulting,Tech Lead,1,11,11,7,3,3,2,4,4,3,4,0,0.23,0,0,2,1,8,4,Infra & Cloud,0,Occasionnel,1,8
76,100,35,1,4312,Célibataire,Commercial,Cadre Commercial,0,16,15,13,3,2,2,1,2,3,3,0,0.14,0,0,2,1,1,4,Marketing,0,Occasionnel,2,8
77,101,45,1,13245,Marié(e),Consulting,Directeur Technique,4,17,0,0,4,3,3,1,2,4,3,1,0.14,0,0,3,1,6,4,Autre,0,Occasionnel,0,0
78,102,37,1,13664,Célibataire,Consulting,Directeur Technique,4,16,5,2,1,3,3,3,1,4,3,0,0.13,0,0,3,1,7,4,Transformation Digitale,0,Occasionnel,0,2
79,103,46,1,5021,Divorcé(e),Ressources Humaines,Ressources Humaines,8,16,4,2,2,3,2,2,4,3,4,1,0.22,0,1,2,1,5,2,Transformation Digitale,0,Occasionnel,0,2
80,104,30,1,5126,Marié(e),Consulting,Consultant,1,10,10,8,4,2,2,4,3,2,3,1,0.12,0,2,1,1,1,1,Infra & Cloud,0,Occasionnel,3,0
81,105,35,1,2859,Célibataire,Consulting,Assistant de Direction,1,6,6,4,2,2,1,3,1,3,3,0,0.18,0,0,3,1,1,3,Transformation Digitale,0,Occasionnel,0,4
82,106,55,1,10239,Marié(e),Commercial,Cadre Commercial,3,24,1,0,1,3,3,4,4,3,3,0,0.14,0,1,4,1,1,2,Infra & Cloud,0,Occasionnel,1,0
83,107,38,0,5329,Divorcé(e),Consulting,Assistant de Direction,7,17,13,11,2,1,2,4,4,3,3,1,0.12,0,3,3,1,6,3,Transformation Digitale,0,Aucun,1,9
84,110,34,1,4325,Marié(e),Consulting,Tech Lead,1,5,5,2,1,3,2,2,3,3,3,0,0.15,0,0,2,1,1,2,Transformation Digitale,0,Occasionnel,1,3
85,112,56,1,7260,Célibataire,Consulting,Tech Lead,4,37,6,4,4,1,3,4,1,2,3,0,0.11,0,0,3,1,7,3,Infra & Cloud,0,Occasionnel,0,2
86,113,23,1,2322,Divorcé(e),Commercial,Représentant Commercial,3,3,0,0,3,3,1,1,3,3,3,0,0.13,0,1,3,1,2,1,Entrepreunariat,0,Occasionnel,0,0
87,116,51,1,2075,Marié(e),Consulting,Consultant,3,10,4,2,4,3,1,4,2,3,4,0,0.23,0,2,4,1,9,4,Infra & Cloud,0,Occasionnel,0,3
88,117,30,1,4152,Marié(e),Consulting,Manager,1,11,11,10,3,2,2,4,1,3,3,0,0.19,0,3,3,1,2,3,Infra & Cloud,0,Occasionnel,10,8
89,118,46,1,9619,Célibataire,Commercial,Cadre Commercial,1,9,9,8,3,2,3,4,4,3,3,0,0.16,1,0,3,1,9,2,Transformation Digitale,0,Occasionnel,4,7
90,119,40,1,13503,Marié(e),Consulting,Manager,1,22,22,3,3,2,4,2,4,2,4,0,0.22,0,1,3,1,1,4,Infra & Cloud,0,Frequent,11,11
91,120,51,1,5441,Célibataire,Commercial,Cadre Commercial,0,11,10,7,3,3,2,4,4,1,4,1,0.22,0,0,2,1,21,4,Marketing,0,Occasionnel,1,0
92,121,30,0,5209,Divorcé(e),Commercial,Cadre Commercial,1,11,11,8,3,2,2,2,2,2,3,1,0.12,0,3,4,1,4,2,Transformation Digitale,0,Occasionnel,2,7
93,124,46,1,10673,Marié(e),Consulting,Manager,2,21,10,9,3,2,3,1,3,2,3,1,0.13,0,1,5,1,1,3,Transformation Digitale,0,Frequent,9,5
94,125,32,1,5010,Célibataire,Commercial,Cadre Commercial,1,12,11,8,2,3,2,3,1,3,3,0,0.16,0,0,0,1,6,4,Transformation Digitale,0,Occasionnel,5,7
95,126,54,0,13549,Marié(e),Consulting,Directeur Technique,9,16,4,3,1,3,3,3,1,1,3,0,0.12,0,1,5,1,2,4,Entrepreunariat,0,Occasionnel,0,3
96,128,24,0,4999,Marié(e),Commercial,Cadre Commercial,0,4,3,2,1,3,2,3,1,2,4,0,0.21,0,1,2,1,3,2,Autre,0,Occasionnel,0,2
97,129,28,1,4221,Marié(e),Commercial,Cadre Commercial,1,5,5,4,2,3,2,3,2,4,3,0,0.15,0,0,3,1,4,3,Transformation Digitale,0,Aucun,0,4
98,131,58,1,13872,Célibataire,Commercial,Cadre Commercial,0,38,37,10,4,3,4,3,3,2,3,0,0.13,0,0,1,1,10,4,Transformation Digitale,0,Occasionnel,1,8
99,132,44,1,2042,Marié(e),Consulting,Consultant,4,17,3,2,2,3,2,2,3,4,3,0,0.12,0,1,3,1,23,3,Transformation Digitale,0,Aucun,1,2
100,133,37,1,2073,Divorcé(e),Ressources Humaines,Ressources Humaines,4,7,3,2,3,3,1,1,4,3,4,1,0.22,1,0,3,1,6,4,Ressources Humaines,0,Occasionnel,0,2
101,134,32,1,2956,Célibataire,Consulting,Assistant de Direction,1,1,1,0,4,3,1,1,4,3,3,0,0.13,0,0,2,1,1,1,Infra & Cloud,0,Occasionnel,0,0
102,137,20,0,2926,Célibataire,Consulting,Consultant,1,1,1,0,4,2,1,4,2,3,3,1,0.18,1,0,5,1,6,3,Infra & Cloud,0,Frequent,1,0
103,138,34,0,4809,Célibataire,Consulting,Assistant de Direction,1,16,16,13,1,3,2,3,3,3,3,0,0.14,0,0,3,1,6,4,Autre,0,Occasionnel,2,10
104,139,37,1,5163,Divorcé(e),Consulting,Manager,5,17,1,0,3,2,2,4,4,4,3,0,0.14,0,1,2,1,2,2,Infra & Cloud,0,Aucun,0,0
105,140,59,0,18844,Marié(e),Ressources Humaines,Senior Manager,9,30,3,2,3,2,5,4,4,3,4,0,0.21,0,1,3,1,2,4,Ressources Humaines,0,Aucun,2,2
106,141,50,0,18172,Marié(e),Consulting,Directeur Technique,3,28,8,3,1,3,5,2,1,2,3,1,0.19,0,0,1,1,1,3,Infra & Cloud,0,Frequent,0,7
107,142,25,1,5744,Célibataire,Commercial,Cadre Commercial,1,6,6,4,3,2,2,3,4,3,3,1,0.11,1,0,1,1,5,3,Marketing,0,Occasionnel,0,3
108,143,25,1,2889,Marié(e),Consulting,Assistant de Direction,1,2,2,2,4,2,1,4,3,3,3,0,0.11,0,2,2,1,7,1,Transformation Digitale,0,Occasionnel,2,1
109,144,22,0,2871,Célibataire,Consulting,Consultant,1,1,0,0,2,3,1,4,3,3,3,0,0.15,0,0,5,1,15,3,Transformation Digitale,0,Occasionnel,0,0
110,145,51,0,7484,Célibataire,Consulting,Manager,3,23,13,12,1,2,3,1,3,2,4,0,0.2,0,0,1,1,1,4,Transformation Digitale,0,Frequent,12,8
111,147,34,1,6074,Célibataire,Consulting,Consultant,1,9,9,7,1,1,2,3,4,3,4,1,0.24,1,0,3,1,7,3,Infra & Cloud,0,Frequent,0,6
112,148,54,0,17328,Célibataire,Ressources Humaines,Senior Manager,2,23,5,3,4,4,4,4,3,3,3,1,0.12,0,0,3,1,26,3,Ressources Humaines,0,Aucun,4,4
113,150,24,1,2774,Marié(e),Consulting,Consultant,0,6,5,3,2,3,1,3,3,3,3,0,0.12,0,1,2,1,18,1,Infra & Cloud,0,Occasionnel,1,2
114,151,34,0,4505,Divorcé(e),Consulting,Assistant de Direction,6,12,1,0,3,2,2,2,3,3,3,0,0.15,0,1,3,1,6,4,Infra & Cloud,0,Occasionnel,0,0
115,152,37,1,7428,Célibataire,Commercial,Cadre Commercial,2,12,5,3,3,3,3,4,1,3,3,0,0.12,0,0,3,1,3,3,Infra & Cloud,0,Occasionnel,1,3
116,153,34,0,11631,Célibataire,Consulting,Senior Manager,2,14,11,10,3,2,3,1,4,3,3,0,0.12,0,0,6,1,5,3,Transformation Digitale,0,Occasionnel,5,8
117,154,36,0,9738,Marié(e),Commercial,Cadre Commercial,0,10,9,7,2,3,3,4,3,3,3,0,0.14,0,1,6,1,11,2,Entrepreunariat,0,Frequent,2,8
118,155,36,0,2835,Divorcé(e),Consulting,Consultant,5,7,1,0,1,3,1,4,1,3,4,0,0.22,0,1,2,1,3,2,Infra & Cloud,0,Occasionnel,0,0
119,158,43,1,16959,Marié(e),Commercial,Senior Manager,1,25,25,12,3,3,4,4,4,4,3,1,0.12,0,2,3,1,26,2,Infra & Cloud,0,Frequent,4,12
120,159,30,1,2613,Divorcé(e),Consulting,Assistant de Direction,1,10,10,7,1,1,1,3,3,2,4,0,0.25,0,3,2,1,23,3,Infra & Cloud,0,Frequent,0,9
121,160,33,1,6146,Marié(e),Commercial,Cadre Commercial,0,8,7,7,3,3,2,2,1,4,3,0,0.13,0,1,2,1,22,2,Marketing,0,Aucun,0,7
122,161,56,0,4963,Marié(e),Consulting,Assistant de Direction,9,7,5,4,2,3,1,2,1,3,3,1,0.18,1,3,2,1,14,4,Infra & Cloud,0,Occasionnel,4,3
123,162,51,1,19537,Célibataire,Consulting,Directeur Technique,7,23,20,18,1,3,5,3,3,3,3,0,0.13,0,0,5,1,6,3,Infra & Cloud,0,Occasionnel,15,15
124,163,31,1,6172,Marié(e),Commercial,Cadre Commercial,4,12,7,7,2,1,2,3,2,2,3,1,0.18,1,0,3,1,6,4,Infra & Cloud,0,Occasionnel,7,7
125,164,26,0,2368,Marié(e),Consulting,Assistant de Direction,1,5,5,4,3,2,1,2,3,2,3,0,0.19,0,0,3,1,6,3,Autre,0,Occasionnel,4,3
126,165,58,0,10312,Marié(e),Consulting,Manager,1,40,40,10,4,3,3,4,4,2,3,0,0.12,1,1,3,1,23,4,Transformation Digitale,0,Occasionnel,15,6
127,167,19,1,1675,Célibataire,Commercial,Représentant Commercial,1,0,0,0,4,3,1,3,4,2,3,1,0.19,1,0,2,1,22,1,Marketing,0,Occasionnel,0,0
128,169,22,1,2523,Marié(e),Consulting,Consultant,0,3,2,1,3,3,1,4,3,3,3,0,0.14,0,1,2,1,2,1,Entrepreunariat,0,Occasionnel,2,1
129,170,49,0,6567,Marié(e),Consulting,Tech Lead,1,16,15,11,3,3,2,1,3,2,3,0,0.14,0,0,2,1,20,4,Transformation Digitale,0,Occasionnel,5,11
130,171,43,0,4739,Célibataire,Consulting,Assistant de Direction,4,18,3,2,2,4,1,3,4,3,3,0,0.12,0,0,2,1,28,3,Transformation Digitale,0,Frequent,1,2
131,174,50,0,9208,Célibataire,Commercial,Cadre Commercial,4,16,2,2,3,3,3,4,4,3,3,0,0.11,0,0,3,1,12,3,Marketing,0,Frequent,2,1
132,175,31,0,4559,Marié(e),Commercial,Cadre Commercial,3,4,2,2,2,1,2,3,3,3,3,1,0.11,1,1,2,1,20,3,Infra & Cloud,0,Occasionnel,2,2
133,176,41,1,8189,Divorcé(e),Commercial,Cadre Commercial,3,12,9,7,3,3,3,3,3,3,3,1,0.13,0,1,2,1,9,1,Infra & Cloud,0,Occasionnel,0,7
134,177,26,0,2942,Marié(e),Ressources Humaines,Ressources Humaines,1,8,8,7,3,3,1,3,4,3,4,0,0.23,0,1,3,1,25,1,Infra & Cloud,0,Occasionnel,5,7
135,178,36,1,4941,Divorcé(e),Consulting,Tech Lead,6,7,3,2,2,3,2,2,4,3,4,0,0.2,0,2,0,1,6,2,Transformation Digitale,0,Occasionnel,0,1
136,179,51,1,10650,Célibataire,Consulting,Tech Lead,2,18,4,2,1,1,3,4,4,3,3,0,0.15,1,0,2,1,8,4,Infra & Cloud,0,Frequent,0,3
137,182,39,0,5902,Marié(e),Commercial,Cadre Commercial,4,17,15,11,4,2,2,3,3,4,3,0,0.14,0,1,1,1,4,4,Infra & Cloud,0,Occasionnel,5,9
138,183,25,1,8639,Marié(e),Commercial,Cadre Commercial,2,6,2,2,1,2,2,3,4,3,3,0,0.18,0,0,3,1,28,3,Infra & Cloud,0,Occasionnel,2,2
139,184,30,1,6347,Marié(e),Ressources Humaines,Ressources Humaines,0,12,11,9,3,3,2,4,4,1,3,1,0.19,0,0,2,1,9,3,Ressources Humaines,0,Occasionnel,4,7
140,190,32,0,4200,Célibataire,Consulting,Consultant,7,10,5,4,1,3,1,1,1,4,4,0,0.22,1,0,2,1,9,3,Transformation Digitale,0,Occasionnel,0,4
141,192,45,1,3452,Célibataire,Consulting,Assistant de Direction,5,9,6,5,3,3,1,4,2,2,3,0,0.13,0,0,2,1,29,3,Transformation Digitale,0,Occasionnel,0,3
142,193,38,0,4317,Célibataire,Consulting,Assistant de Direction,3,19,3,2,4,3,2,3,2,3,4,1,0.2,0,0,2,1,3,5,Entrepreunariat,0,Occasionnel,2,2
143,194,30,0,2632,Célibataire,Consulting,Assistant de Direction,1,5,5,4,1,3,1,3,3,2,3,0,0.14,0,0,4,1,18,3,Infra & Cloud,0,Occasionnel,0,4
144,195,32,1,4668,Divorcé(e),Commercial,Cadre Commercial,0,9,8,7,4,1,2,4,4,4,3,0,0.17,0,3,2,1,9,2,Transformation Digitale,0,Frequent,0,7
145,197,30,0,3204,Divorcé(e),Consulting,Assistant de Direction,5,8,3,2,4,3,1,1,4,3,3,0,0.14,0,1,3,1,5,3,Entrepreunariat,0,Occasionnel,2,2
146,198,30,1,2720,Célibataire,Consulting,Consultant,0,6,5,3,2,2,1,4,4,3,3,0,0.13,0,0,3,1,2,1,Transformation Digitale,0,Occasionnel,1,2
